0,191,0.9267
0,258,1.3664
0,117,0.8503
0,115,0.8839
0,217,0.9355
0,78,1.1124
0,203,1.1468
0,254,1.3267
0,182,1.1397
0,261,1.0823
0,197,0.8957
0,172,1.3584
0,13,0.8572
0,19,1.3873
0,35,1.1076
0,106,1.1495
0,131,0.9175
1,191,0.9455
1,258,1.3852
1,117,0.8691
1,115,0.9028
1,217,0.9544
1,78,1.1312
1,203,1.1656
1,254,1.3455
1,182,1.1585
1,261,1.1011
1,197,0.9146
1,172,1.3722
1,13,0.8760
1,15,0.8488
1,19,1.3685
1,35,1.1079
1,106,1.1683
1,131,0.9363
2,191,0.9626
2,258,1.4023
2,117,0.8862
2,115,0.9198
2,217,0.9714
2,78,1.1483
2,203,1.1826
2,254,1.3625
2,182,1.1755
2,261,1.1182
2,197,0.9316
2,172,1.3855
2,13,0.8931
2,15,0.8658
2,19,1.3641
2,35,1.1250
2,106,1.1853
2,131,0.9533
3,191,0.9875
3,258,1.4051
3,117,0.8974
3,115,0.9448
3,217,0.9964
3,78,1.1595
3,203,1.1939
3,254,1.3654
3,182,1.2005
3,261,1.1431
3,197,0.9566
3,172,1.4121
3,13,0.9180
3,15,0.8907
3,19,1.3375
3,35,1.0997
3,106,1.2103
3,131,0.9783
4,191,0.9877
4,258,1.4268
4,117,0.9107
4,115,0.9450
4,217,0.9966
4,78,1.1728
4,203,1.2072
4,254,1.3871
4,182,1.2007
4,261,1.1433
4,197,0.9568
4,172,1.4097
4,13,0.9182
4,15,0.8910
4,19,1.3389
4,35,1.1214
4,106,1.2105
4,131,0.9785
5,191,1.0142
5,258,1.4176
5,117,0.9241
5,115,0.9715
5,217,1.0231
5,78,1.1862
5,203,1.2206
5,254,1.3779
5,182,1.2272
5,261,1.1698
5,197,0.9832
5,172,1.4362
5,13,0.9447
5,15,0.9174
5,19,1.3124
5,35,1.1071
5,106,1.2370
5,131,1.0050
6,191,1.0333
6,258,1.4244
6,117,0.9432
6,115,0.9906
6,217,1.0421
6,78,1.2053
6,203,1.2397
6,254,1.3847
6,182,1.2463
6,261,1.1889
6,197,1.0023
6,172,1.4327
6,13,0.9638
6,15,0.9365
6,19,1.3046
6,35,1.1138
6,106,1.2561
